v3_feature,v4_feature,correlation
feature_arithmetic_delicate_pantagruelist,feature_syncytial_exterior_remora,0.95072137559111
feature_arizonan_endurable_daw,feature_abreast_viscoelastic_commander,0.9630878744922
feature_armoured_finable_skywriter,feature_inserted_inconvertible_functioning,0.991943038594744
feature_articulated_shamefaced_orzo,feature_vulcanian_brimstony_autobiographer,0.998969458424909
feature_assenting_darn_arthropod,feature_unswaddled_inenarrable_goody,1
feature_assertive_worsened_scarper,feature_strigose_rugose_interjector,1
feature_astronomic_gripple_culverin,feature_adolescent_anguilliform_staging,0.9630878744922
feature_atlantic_uveal_incommunicability,feature_riskier_ended_typo,0.998407344838495
feature_attainable_solonian_impropriator,feature_asphyxiated_peaceful_effleurage,0.999437886413587
feature_attributable_shagged_nourishment,feature_cephalopod_arrased_jird,0.977796513336679
feature_attuned_southward_heckle,feature_protonematal_springtime_varioloid,1
feature_auroral_glary_quamash,feature_peachiest_felted_removal,1
feature_autarkic_constabulary_dukedom,feature_preoral_tonsorial_souk,0.99747048886114
feature_autodidactic_gnarlier_pericardium,feature_cosy_microtonal_cedar,0.998501030436232
feature_auxetic_cholagogue_sexton,feature_glial_birefringent_popery,0.843076623792981
feature_avowed_cloying_anthropologist,feature_revolutionist_proportionate_headscarf,0.986509273926083
feature_axillary_reluctant_shorty,feature_tamil_grungy_empathy,0.994566235331339
feature_aztecan_encomiastic_pitcherful,feature_sciurine_stibial_lintwhite,0.986696645121554
feature_backswept_cryptogenic_baku,feature_grasping_unmetrical_trollopian,0.997657860056612
feature_baldish_cognitional_naha,feature_coloratura_preclusive_micromillimetre,0.996533632883785
feature_bareheaded_satisfied_copartner,feature_monarchic_blah_cellarman,1
feature_barest_kempt_crowd,feature_sarmatia_foldable_eutectic,1
feature_basaltic_arid_scallion,feature_undepreciated_partitive_ipomoea,0.982949221212133
feature_base_ingrain_calligrapher,feature_queenliest_childing_ritual,0.865654852847245
feature_bathypelagic_companionate_disenchanter,feature_lenient_electrothermal_phoenix,0.998969458424909
feature_battled_beating_radiotelephony,feature_choric_illustrated_inch,0.996158890492843
feature_beady_unkind_barret,feature_evangelistic_cruel_dissimilitude,0.991943038594744
feature_beauish_seismal_lobe,feature_harmonized_intrinsic_disapproval,0.992973580169835
feature_bedded_neutral_relishing,feature_apt_trimeter_bucketful,0.988382985880794
feature_beery_somatologic_elimination,feature_subfusc_furriest_nervule,1
feature_behaviorist_microbiological_farina,feature_setose_processed_crevice,1
feature_belgravian_salopian_sheugh,feature_unwithered_personate_dilatation,0.99915682962038
feature_belorussian_augitic_entrancement,feature_ago_hypocritical_codeclination,0.950721375591109
feature_bhutan_imagism_dolerite,feature_ugrian_schizocarpic_skulk,1
feature_biannual_maleficent_thack,feature_cnidarian_micrologic_sousaphone,0.949316091625076
feature_biased_puzzling_cessation,feature_phagocytic_humanistic_chappal,0.996533632883786
feature_bifacial_hexastyle_hemialgia,feature_degenerate_diaphragmatic_literalizer,0.986509273926083
feature_biochemical_searching_sodalite,feature_meteorological_tushed_ester,0.997938916849818
feature_bipinnate_oriented_earmuff,feature_doggone_seeable_mask,1
feature_bleeding_arabesque_pneuma,feature_cragged_sacred_malabo,1
feature_bloodied_twinkling_andante,feature_carunculate_discursive_hectare,0.953625629120911
feature_blue_swedenborgianism_squinter,feature_quaternate_loftier_directorate,0.965617385631059
feature_bold_brindle_playground,feature_unconstitutional_chiseled_coalport,1
feature_boyish_ductile_ninety,feature_antistatic_cabbagy_bluecoat,0.998875772827173
feature_brachydactylic_azonic_strife,feature_embolic_menial_mariculture,0.9815439372461
feature_branched_dilatory_sunbelt,feature_elaborate_intimate_bor,0.997002060872463
feature_brawny_confocal_frail,feature_joint_unreturning_basalt,0.988289300283058
feature_brickier_heterostyled_scrutiny,feature_irrevocable_unlawful_oral,0.984916618764579
feature_bristly_encysted_vendue,feature_coronate_congeneric_stockhausen,0.974142775024993
feature_brittle_chautauqua_elite,feature_pseudo_bounden_hereafter,1
feature_brushed_psychiatrical_lubbock,feature_baggier_supernormal_calcedony,0.940134903046994
feature_bucktooth_stockish_sideropenia,feature_banal_microanalytical_posset,0.998407344838496
feature_budgetary_surrounded_formicary,feature_versicular_buoyant_codetta,0.980138653280067
feature_built_reincarnate_sherbet,feature_integrative_reviviscent_governed,0.994566235331339
feature_burled_zinky_verdin,feature_enervated_tearier_septation,0.997657860056612
feature_burning_incunabular_clodhopper,feature_lithotomical_periodontal_systemization,0.952876144339027
feature_bushwhacking_unaligned_imperturbability,feature_verifying_imagism_sublease,0.981262880452893
feature_busty_unfitted_keratotomy,feature_uneasy_unaccommodating_immortality,0.997095746470199
feature_buxom_curtained_sienna,feature_distressed_bloated_disquietude,0.99222409538795
feature_cachectical_metaphysic_patency,feature_unwomanly_pitying_saffian,0.994940977722281
feature_caecilian_unexperienced_ova,feature_lamarckian_tarnal_egestion,1
feature_caespitose_unverifiable_intent,feature_antimonarchist_ordainable_quarterage,0.99643994728605
feature_cairned_fumiest_ordaining,feature_hotter_cattish_aridity,0.97461120301367
feature_calceolate_pudgy_armure,feature_ethiopic_anhedonic_stob,0.984635561971373
feature_calculating_unenchanted_microscopium,feature_developing_behind_joan,1
feature_calefactive_anapaestic_jerome,feature_additive_untrustworthy_hierologist,0.998501030436231
feature_calycled_living_birmingham,feature_optic_mycelial_whimper,0.96917743834501
feature_calycled_necrologic_naboth,feature_prothallium_burst_pledget,0.986977701914761
feature_cambial_bigoted_bacterioid,feature_just_flavescent_draff,0.968709010356332
feature_campestral_salted_romanism,feature_unplumb_prefectorial_gloucester,0.9928798945721
feature_camphorated_spry_freemartin,feature_serpentiform_incomplete_bessarabia,0.993442008158513
feature_canalicular_peeling_lilienthal,feature_undrilled_wheezier_countermand,1
feature_canonical_dermatographic_mellowing,feature_unlearned_plicate_megabit,0.998032602447554
feature_capitate_plaguy_hooper,feature_stolid_unhacked_schoolgirl,0.950721375591109
feature_capsulate_rival_marcel,feature_chorial_sapheaded_humberside,0.926550491375342
feature_caressive_cognate_cubature,feature_mercian_luddite_aganippe,0.997564174458876
feature_carnassial_undecided_suspensor,feature_entrepreneurial_glumpiest_longhorn,0.988195614685323
feature_casemated_ibsenian_grantee,feature_spec_subversive_plotter,0.975267002197819
feature_castrated_presented_quizzer,feature_bally_bathymetrical_isadora,0.999344200815851
feature_casuistic_barbarian_monochromy,feature_clasping_fast_menstruation,0.981262880452893
feature_catercorner_seemliest_prepostor,feature_depressant_blinded_yellowstone,0.959059393789572
feature_caudated_judicial_crossette,feature_granulitic_cordial_infield,0.953344572327704
feature_cauterant_paly_discant,feature_revelational_natty_nephralgia,0.965523700033323
feature_centric_shaggier_cranko,feature_adsorbed_blizzardy_burlesque,0.99747048886114
feature_centroclinal_incentive_lancelet,feature_exoergic_zoomorphic_burin,0.959434136180514
feature_cerebrovascular_weeny_advocate,feature_yelled_hysteretic_eath,0.992130409790215
feature_chafed_undenominational_backstitch,feature_potential_subsessile_disconnection,1
feature_chaldean_vixenly_propylite,feature_fair_papal_vinaigrette,0.998875772827173
feature_chaotic_granitoid_theist,feature_expiscatory_wriest_colportage,0.941633872610763
feature_chartered_conceptual_spitting,feature_coordinated_astir_vituperation,0.997189432067933
feature_cheering_protonemal_herd,feature_balaamitical_electropositive_exhaustibility,0.988289300283058
feature_chelonian_pyknic_delphi,feature_jamesian_scutiform_ionium,0.998875772827173
feature_childing_funest_turbidity,feature_municipal_curvier_hegelianism,0.995596776906429
feature_chillier_consultatory_latest,feature_feral_telling_marquessate,1
feature_chinked_preborn_hideaway,feature_partitive_labyrinthine_sard,0.982574478821191
feature_chopfallen_fasciate_orchidologist,feature_fortyish_neptunian_catechumenate,0.988945099467207
feature_christadelphian_euclidean_boon,feature_virescent_telugu_neighbour,0.96224470411258
feature_chuffier_analectic_conchiolin,feature_burning_phrygian_axinomancy,0.995971519297372
feature_churrigueresque_talc_archaicism,feature_galactopoietic_luckiest_protecting,0.994940977722281
feature_citified_certified_progestin,feature_drier_worshipping_hetairist,1
feature_clarified_mimic_slash,feature_twisted_saronic_necrologist,0.998407344838495
feature_clashing_disheartening_rattler,feature_gathered_owlish_judgment,0.910623939760301
feature_clawed_unwept_adaptability,feature_iconoclastic_parietal_agonist,1
feature_cleanly_kickable_miriam,feature_instinctive_dappled_upholder,0.997845231252083
feature_clerkish_flowing_chapati,feature_heartier_salverform_nephew,0.976203858175174
feature_close_abloom_boomlet,feature_duskier_wispiest_midwesterner,1
feature_coactive_prefatorial_lucy,feature_comprisable_commensurable_cyrenaic,1
feature_coalier_typhoid_muntin,feature_paleolithic_myalgic_lech,1
feature_coelomate_orbiculate_osteology,feature_plausive_skaldic_shoebox,0.989788269846827
feature_coenobitical_undistinguished_elsan,feature_restricting_unghostly_tapir,0.998219973643025
feature_collective_stigmatic_handfasting,feature_signed_ringent_sunna,0.992973580169835
feature_commensurable_industrial_jungfrau,feature_drizzling_refrigerative_imperfection,0.999250515218116
feature_communicatory_unrecommended_velure,feature_guardian_frore_rolling,1
feature_compliable_buccaneerish_lyddite,feature_contaminable_exilic_girandole,0.95971519297372
feature_compurgatorial_demeaning_purser,feature_disclosed_transcendental_pungency,0.902754349550516
feature_conceding_ingrate_tablespoonful,feature_sumerian_descendible_kalpa,1
feature_concessible_carpal_telesthesia,feature_saturated_protozoal_unsociability,0.978358626923092
feature_conciliable_fleeting_equestrienne,feature_tricksome_unimproved_accidental,0.99915682962038
feature_confiscatory_triennial_pelting,feature_biological_caprine_cannoneer,0.966273184815208
feature_congealed_lee_steek,feature_urticant_ultracentrifugal_wane,0.960839420146547
feature_congenerical_anodal_chelation,feature_unliquefied_folding_equilibrator,1
feature_congenial_transmigrant_isobel,feature_necked_moresque_lowell,1
feature_congenital_conched_perithecium,feature_pruinose_raploch_roubaix,0.994659920929074
feature_conjugal_postvocalic_rowe,feature_unvalued_untangled_keener,0.92280306746592
feature_conjunctional_maned_banian,feature_deflective_demographic_saragossa,0.970395351115572
feature_conscionable_insouciant_pariah,feature_titulary_merriest_intelligencer,1
feature_consecrate_legislative_cavitation,feature_stellular_paler_centralisation,0.992598837778893
feature_contaminative_intrusive_tagrag,feature_unrelenting_intravascular_mesenchyme,0.999531572011323
feature_continental_archival_katmandu,feature_totipalmate_rightable_occultist,0.996533632883785
feature_continuate_unprocurable_haversine,feature_alcibiadean_lumpier_origan,0.940790702231142
feature_contorted_weaponed_piaffe,feature_teratogenic_wet_calkin,0.96917743834501
feature_contraband_pyorrhoeal_vernalisation,feature_wannish_record_lunette,0.968427953563125
feature_contradictory_museful_somatotropin,feature_phylogenetic_paramount_caperer,0.99643994728605
feature_contralto_unblushing_beowulf,feature_daunting_nomenclatorial_facility,0.952220345154878
feature_contused_festal_geochemistry,feature_ataractic_swept_rubeola,0.984729247569108
feature_conventionalized_volitant_citadel,feature_chiseled_dastard_analyst,0.969083752747273
feature_coordinated_undecipherable_gag,feature_subservient_wedged_limping,0.971238521495191
feature_correlative_nociceptive_development,feature_patristic_intelligential_crackajack,0.965336328837852
feature_corrugated_dotiest_committeewoman,feature_easterly_predicable_enclosure,0.998594716033967
feature_corticate_unuttered_langur,feature_khedival_viewable_bloodlust,0.991755667399273
feature_cottony_ischaemic_venery,feature_revolting_pharmacological_notability,0.973393290243109
feature_counter_arbitral_gyration,feature_overweening_incommunicable_pealing,0.996533632883785
feature_covalent_methodological_brash,feature_dissolvable_chrismal_obtund,0.970395351115571
feature_covalent_unreformed_frogbit,feature_prefigurative_downstream_transvaluation,0.99475360652681
feature_coveted_finniest_lipogram,feature_synodal_feisty_weave,1
feature_crablike_panniered_gloating,feature_faint_consociate_rhytidectomy,0.997657860056612
feature_crawlier_residuary_biracialism,feature_ruttier_freakier_perversion,1
feature_craziest_cordate_ravishment,feature_mediative_sufferable_serosity,0.99475360652681
feature_creedal_greediest_vibrant,feature_lithuanian_fabianism_pedagogy,1
feature_criticisable_authentical_deprecation,feature_rose_buttoned_dandy,0.998782087229438
feature_cromwellian_imbecilic_algonkian,feature_unqualifying_pursuant_antihistamine,1
feature_crookbacked_irreplaceable_heresiography,feature_vibratory_prejudicial_quadrillion,0.968990067149538
feature_croupiest_shaded_thermotropism,feature_babist_moribund_myna,0.998594716033967
feature_crowning_frustrate_kampala,feature_unventilated_sollar_bason,1
feature_ctenoid_moaning_fontainebleau,feature_probationary_readying_roundelay,0.828086928155295
feature_culinary_pro_offering,feature_hierologic_expectable_maiolica,0.985291361155521
feature_cupulate_mettlesome_extensimeter,feature_gnomonic_fixative_vocalise,0.995409405710959
feature_curling_aurorean_iseult,feature_stelliform_curling_trawler,0.999344200815851
feature_curtained_gushier_tranquilizer,feature_plum_anemometrical_guessing,1
feature_curvier_antinodal_absolute,feature_squabbiest_receivable_foreyard,0.965336328837852
feature_cut_rouged_defilement,feature_geomedical_imbued_clunk,0.998219973643025
feature_cymose_prima_guardhouse,feature_fogyish_cruciate_starter,0.978452312520827
feature_cyrenaic_unschooled_silurian,feature_bitterish_buttocked_turtleneck,1
feature_daytime_suppurative_oximeter,feature_unlucky_hammered_pard,0.913902935681044
feature_deathy_hylomorphic_christine,feature_huggable_interim_doline,0.999250515218116
feature_deceased_peppiest_hitlerism,feature_winglike_hydropathic_sedimentology,0.962806817698993
feature_decent_solo_stickup,feature_phyllopod_unconstrainable_blubberer,0.951470860372993
feature_deformed_unenslaved_graniteware,feature_anticivic_blistery_knot,0.986040845937406
feature_degenerate_officinal_feasibility,feature_southernmost_unhuman_arbiter,0.998126288045289
feature_deliberative_connatural_kinetoscope,feature_brainish_nonabsorbent_assurance,0.787240007542604
feature_delimited_doable_jim,feature_cockiest_ditheistical_pennyworth,1
feature_deliquescent_lintiest_protamine,feature_metagrobolized_incorrigible_berkelium,0.954094057109589
feature_demisable_expiring_millepede,feature_waggly_outlandish_carbonisation,1
feature_demure_groutiest_housedog,feature_smutty_prohibited_sullivan,0.997657860056612
feature_dendritic_prothallium_sweeper,feature_uninforming_predictable_pepino,0.999625257609058
feature_dentilingual_removed_osmometer,feature_productile_auriform_fil,0.998407344838496
feature_dermal_extortive_inversion,feature_teased_pinpoint_grant,1
feature_derogative_sawdusty_photolithography,feature_laniary_chelated_rejoicing,0.997938916849818
feature_descendent_decanal_hon,feature_canopic_exigible_schoolgirl,0.993348322560777
feature_desiderative_commiserative_epizoa,feature_serpentiform_trinary_imponderability,0.98510398996005
feature_designer_notchy_epiploon,feature_clandestine_inkiest_silkworm,0.997002060872463
feature_destructive_winterweight_towbar,feature_mesarch_disentangled_catalytic,0.997751545654347
feature_devoted_straggly_charlotte,feature_undefeated_unworkmanlike_probe,0.993442008158513
feature_dextrogyrate_permitted_mystagogy,feature_steadier_untrenched_bernstein,1
feature_diabasic_prescribed_autograft,feature_quaggy_chilliest_inchoative,0.97817125572762
feature_dichasial_hammier_spawner,feature_honoured_observational_balaamite,1
feature_difficile_oxalic_spheroid,feature_rampant_barren_sapodilla,0.953625629120911
feature_dipped_sent_giuseppe,feature_idled_unwieldy_improvement,1
feature_direst_interrupted_paloma,feature_queenliest_childing_ritual,0.846542990909196
feature_dirtiest_possessory_nuku'alofa,feature_tallish_grimier_tumbrel,0.99915682962038
feature_discrepant_ventral_shicker,feature_cirsoid_buddhism_vespa,0.974423831818199
feature_dismaying_chaldean_tallith,feature_unreceipted_latest_lesser,0.991099868215124
feature_dispiriting_araeostyle_jersey,feature_unshrinking_semiarid_floccule,0.959340450582778
feature_dissilient_stunning_ribwort,feature_deltoid_chalkier_connecticut,1
feature_distorted_bit_frilling,feature_resuscitated_taloned_borak,0.931796884848532
feature_diverticular_punjabi_matronship,feature_gleaming_monosyllabic_scrod,0.998688401631703
feature_divulsive_cordial_bremsstrahlung,feature_digressive_ratty_supernatant,0.998501030436232
feature_doctrinal_popular_disqualifying,feature_mesarch_discreditable_calming,0.994097807342661
feature_doggish_whacking_headscarf,feature_flawed_demonological_toady,0.998501030436232
feature_dorsolumbar_dolesome_marshmallow,feature_packaged_topological_paradigm,0.98763350109891
feature_dovetailed_winy_hanaper,feature_anthropoid_pithy_newscast,0.998969458424909
feature_down_delinquent_madagascar,feature_sunburnt_sympodial_cookhouse,0.964118416067291
feature_dozier_mad_outrush,feature_pacific_sleeved_devise,1
feature_draconic_contractible_romper,feature_asteriated_invigorated_penitence,1
feature_drawable_exhortative_dispersant,feature_petulant_thirty_safety,0.984073448384959
feature_dreary_gristlier_matchbox,feature_jugoslav_cultured_tinct,0.959996249766927
feature_dreary_penal_acroterium,feature_addressable_intransitive_reconnoitrer,1
feature_driving_neurasthenic_perimysium,feature_promised_intramolecular_sora,1
feature_dropping_naevoid_swag,feature_defective_sectional_stenotype,0.998594716033967
feature_dropsical_suctorial_mnemosyne,feature_mini_caressive_mantuan,0.999531572011322
feature_durative_cuboidal_mirepoix,feature_uninquiring_unspiritualized_gradualism,0.989881955444562
feature_dustiest_algonkian_plasticity,feature_etched_furry_biriani,0.955780397868828
feature_dwarfish_equestrian_vaporizer,feature_looted_eleven_corpora,0.975829115784232
feature_dyeline_catechistic_placet,feature_unsatisfactory_lovelorn_brainstorm,1
feature_dyspeptic_disseminative_anglophobia,feature_intromittent_surer_pederasty,0.975079631002348
feature_earthlier_parian_pistachio,feature_utmost_excitable_emir,0.959996249766927
feature_eating_lanose_linguini,feature_inaccessible_radioactive_glassine,0.950440318797902
feature_echoic_dustproof_indiscernibility,feature_sunset_slouchy_alisma,0.9446318117383
feature_eclectic_citified_testator,feature_towery_eighteenth_enough,0.983698705994017
feature_ectodermal_unfeigning_chester,feature_thermophile_noisette_swamper,0.99203672419248
feature_edge_hanoverian_cockneyfication,feature_dressy_skiable_hypognathism,0.994847292124546
feature_elating_apeak_hoodwinker,feature_piping_unabolished_statocyst,0.994659920929074
feature_elating_diluvian_telepathist,feature_steely_delusory_anesthesiologist,0.962900503296729
feature_elegiac_isolationism_lookout,feature_underdeveloped_eastern_goner,0.989226156260414
feature_embryo_sloping_albertine,feature_indefinite_plenipotent_absorbent,1
feature_emissive_perinephric_conveniency,feature_unbearded_rustiest_fiddlewood,0.953157201132233
feature_emmetropic_heraclitean_conducting,feature_circassian_leathern_impugner,0.991287239410596
feature_encased_jutting_gasometer,feature_croaking_japhetic_fifer,0.955405655477886
feature_encompassing_skeptical_salience,feature_solemn_wordier_needlework,0.974049089427258
feature_endangered_unthreaded_firebrick,feature_holy_chic_cali,0.999531572011322
feature_enlightening_mirthful_laurencin,feature_hagiological_refer_vitamin,0.929642116100614
feature_enorm_taboo_abysm,feature_intracardiac_circumfluent_pepper,0.96917743834501
feature_enslaved_fattest_radiotelegraph,feature_indentured_insuperable_spider,0.999531572011322
feature_epicurean_fetal_seising,feature_maxillary_orphic_despicability,0.998219973643025
feature_epidermic_scruffiest_prosperity,feature_stoichiometric_unanswerable_leveller,0.985759789144199
feature_epitaxial_loathsome_essen,feature_unimaginable_sec_kaka,0.966366870412943
feature_equalized_statuary_more,feature_transisthmian_inculcative_heldentenor,0.953719314718646
feature_equipotent_undefeated_anointer,feature_blathering_unwell_despiser,0.973955403829522
feature_equiprobable_unsisterly_mississauga,feature_interchangeable_yellow_thinker,0.990256697835504
feature_eradicable_douce_teleconference,feature_ten_male_phoenician,0.979108111704976
feature_eruptive_seasoned_pharmacognosy,feature_rude_booziest_ilium,0.962994188894464
feature_escutcheoned_timocratic_kotwal,feature_stylolitic_brown_spume,1
feature_estuarine_candescent_podunk,feature_pulsing_ionian_flatterer,0.995971519297372
feature_euterpean_frazzled_williamsburg,feature_tricksiest_pending_voile,0.952688773143555
feature_evaporative_largo_aster,feature_holometabolic_speeding_subinfeudatory,0.94819186445225
feature_exacerbating_presentationism_apagoge,feature_unpressed_mahratta_dah,0.998594716033967
feature_exorbitant_myeloid_crinkle,feature_trisomic_hagiographic_fragrance,1
feature_expressed_abhominable_pruning,feature_laminable_unspecified_gynoecium,0.951658231568464
feature_exsanguine_ethereal_archon,feature_unmethodized_straining_heartburning,0.97629754377291
feature_exterminated_grumbling_lawing,feature_crisscrossed_audible_hafiz,1
feature_extractable_serrulate_swing,feature_unperceivable_unrumpled_appendant,0.930297915284763
feature_extrorse_idling_vinificator,feature_monosyllabic_homey_omicron,0.998219973643025
feature_eyed_scotistic_diabolism,feature_antitussive_vixenly_sacque,0.992130409790215
feature_faced_moline_gavotte,feature_blushful_protean_granduncle,0.953157201132233
feature_faeroese_inapposite_plum,feature_lowered_toric_charmeuse,0.981824994039306
feature_fake_lentoid_helotism,feature_altruistic_congenital_disinflation,0.99915682962038
feature_fake_trident_agitator,feature_wally_unrotted_eccrinology,0.943320213370002
feature_faltering_tergal_tip,feature_undiverted_analyzed_accidie,0.996627318481521
feature_farcical_spinal_samantha,feature_veristic_parklike_halcyon,0.998688401631702
feature_faustian_unventilated_lackluster,feature_granulative_uncritical_agostini,0.962900503296729
feature_favoring_prescript_unorthodoxy,feature_unutterable_softening_roper,0.99372306495172
feature_fertilized_quartile_roll,feature_sensationalistic_puritan_mirador,0.962994188894464
feature_fescennine_intramundane_flamen,feature_resentful_eisteddfodic_assyrian,0.79904439285728
feature_festering_controvertible_hostler,feature_malignant_campodeid_pluton,0.988945099467207
feature_few_lagoonal_alcyonarian,feature_regrettable_liberating_crabber,0.997845231252083
feature_fictile_shadowy_esse,feature_fortissimo_undrawn_ratio,0.99391043614719
feature_fierier_goofier_follicle,feature_scissile_dejected_kainite,1
feature_fine_aberrational_deducibility,feature_elasmobranch_braving_typhoid,0.985759789144199
feature_fishier_groggier_corporeity,feature_undermanned_transfusible_executive,0.998501030436231
feature_fishiest_simulatory_roadholding,feature_iridic_vellum_invective,0.99831365924076
feature_fissirostral_multifoliate_chillon,feature_ruthenic_peremptory_truth,1
feature_flabby_unquantified_extenuation,feature_admissive_jaggiest_yabby,0.998782087229438
feature_flakiest_fleecy_novelese,feature_disintegrable_snakier_zion,0.998407344838496
feature_flavourful_seismic_erica,feature_referenced_biliteral_chiropody,0.993629379353984
feature_fleshly_bedimmed_enfacement,feature_athenian_pragmatism_isomorphism,0.996814689676992
feature_flintier_enslaved_borsch,feature_undisguised_unenviable_stamen,1
feature_floricultural_unimpeded_nomen,feature_plutocratic_cressy_plasterboard,0.994566235331339
feature_fluorometric_guarded_dioxin,feature_occurrent_suggestible_doubter,0.996721004079256
feature_foamy_undrilled_glaciology,feature_bustled_fieriest_doukhobor,0.992879894572099
feature_foliated_psychokinetic_vivian,feature_augean_contraceptive_subsequence,0.953157201132233
feature_forficate_martensitic_huckaback,feature_numeral_cagey_haulm,0.999344200815851
feature_formational_preventive_capp,feature_financed_striped_libertarian,0.995877833699637
feature_fortunate_unorthodoxy_trish,feature_wuthering_stinky_bimetallist,0.991568296203802
feature_forworn_hask_haet,feature_uncomplying_unprovocative_ochlophobia,1
feature_foudroyant_undersigned_ascendance,feature_anamnestic_conformable_spaceship,0.99372306495172
feature_fragrant_fifteen_brian,feature_acclimatisable_unfeigned_maghreb,1
feature_fraternal_manx_tambourine,feature_demountable_unprejudiced_neighbourhood,0.953625629120911
feature_fraternal_whackiest_poppy,feature_acanthoid_slimiest_decor,0.985385046753257
feature_frequentative_participial_waft,feature_convalescence_deuteranopic_lemuroid,0.969739551931423
