legacy_feature,new_feature
feature_charisma43,feature_whopping_eminent_attempter
feature_charisma44,feature_undescribed_methylic_friday
feature_charisma45,feature_continuate_unprocurable_haversine
feature_charisma46,feature_voltairean_dyslogistic_epagoge
feature_charisma47,feature_untouchable_unsolvable_agouti
feature_charisma48,feature_univalve_abdicant_distrail
feature_charisma49,feature_hemispherical_unabsolved_aeolipile
feature_charisma50,
feature_charisma51,feature_subdued_spiffier_kano
feature_charisma52,feature_intertwined_leeriest_suffragette
feature_charisma53,feature_introvert_symphysial_assegai
feature_charisma54,feature_log_unregenerate_babel
feature_charisma55,feature_agile_unrespited_gaucho
feature_charisma56,feature_fustiest_voiced_janet
feature_charisma57,feature_communicatory_unrecommended_velure
feature_charisma58,feature_interrogatory_isohyetal_atacamite
feature_charisma59,feature_spagyric_echt_alum
feature_charisma60,feature_ovular_powered_neckar
feature_charisma61,feature_doggish_whacking_headscarf
feature_charisma62,feature_beady_unkind_barret
feature_charisma63,feature_travelled_semipermeable_perruquier
feature_charisma64,feature_uncertified_myrmecological_nagger
feature_charisma65,feature_unrated_intact_balmoral
feature_charisma66,feature_buxom_curtained_sienna
feature_charisma67,feature_axillary_reluctant_shorty
feature_charisma68,feature_grazed_blameful_desiderative
feature_charisma69,feature_assenting_darn_arthropod
feature_charisma70,feature_more_hindoo_diageotropism
feature_charisma71,feature_gossamer_placable_wycliffite
feature_charisma72,feature_enlightening_mirthful_laurencin
feature_charisma73,feature_euterpean_frazzled_williamsburg
feature_charisma74,feature_chartered_conceptual_spitting
feature_charisma75,feature_untrimmed_monaxial_accompanist
feature_charisma76,feature_refreshed_untombed_skinhead
feature_charisma77,feature_ctenoid_moaning_fontainebleau
feature_charisma78,feature_uncharged_unovercome_smolder
feature_charisma79,feature_unmoved_alt_spoonerism
feature_charisma80,feature_quinsied_increased_braincase
feature_charisma81,feature_indentured_communicant_tulipomania
feature_charisma82,feature_uncomplimentary_malignant_scoff
feature_charisma83,feature_nubblier_plosive_deepening
feature_charisma84,feature_inhabited_pettier_veinlet
feature_charisma85,feature_apomictical_motorized_vaporisation
feature_charisma86,feature_trim_axial_suffocation
feature_constitution1,feature_unmalleable_resistant_kingston
feature_constitution2,feature_discrepant_ventral_shicker
feature_constitution3,feature_alkaline_pistachio_sunstone
feature_constitution4,feature_galvanometric_sturdied_billingsgate
feature_constitution5,feature_torturesome_estimable_preferrer
feature_constitution6,feature_confiscatory_triennial_pelting
feature_constitution7,feature_unbeaten_orological_dentin
feature_constitution8,feature_salian_suggested_ephemeron
feature_constitution9,feature_unaimed_yonder_filmland
feature_constitution10,feature_greedier_favorable_enthymeme
feature_constitution11,feature_consecrate_legislative_cavitation
feature_constitution12,feature_atlantic_uveal_incommunicability
feature_constitution13,feature_resuscitative_communicable_brede
feature_constitution14,feature_intercalative_helvetian_infirmarian
feature_constitution15,feature_seamier_jansenism_inflator
feature_constitution16,feature_mazy_superrefined_punishment
feature_constitution17,feature_obeisant_vicarial_passibility
feature_constitution18,feature_seemlier_reorient_monandry
feature_constitution19,feature_coordinated_undecipherable_gag
feature_constitution20,feature_epidermic_scruffiest_prosperity
feature_constitution21,feature_hypothetic_distressing_endemic
feature_constitution22,feature_chaldean_vixenly_propylite
feature_constitution23,feature_agronomic_cryptal_advisor
feature_constitution24,feature_fleshly_bedimmed_enfacement
feature_constitution25,feature_sludgy_implemental_sicily
feature_constitution26,feature_substandard_permissible_paresthesia
feature_constitution27,feature_sixteen_inbreed_are
feature_constitution28,feature_scenographical_dissentient_trek
feature_constitution29,feature_unapplicable_jerkiest_klemperer
feature_constitution30,feature_subglobular_unsalable_patzer
feature_constitution31,feature_chuffier_analectic_conchiolin
feature_constitution32,feature_palatalized_unsucceeded_induration
feature_constitution33,feature_unsurveyed_chopped_feldspathoid
feature_constitution34,feature_pansophic_merino_pintado
feature_constitution35,feature_farcical_spinal_samantha
feature_constitution36,feature_antisubmarine_foregoing_cryosurgery
feature_constitution37,feature_unspotted_practiced_gland
feature_constitution38,feature_himyarite_tetragonal_deceit
feature_constitution39,feature_publishable_apiarian_rollick
feature_constitution40,feature_foamy_undrilled_glaciology
feature_constitution41,feature_uncurtailed_translucid_coccid
feature_constitution42,feature_levigate_kindly_dyspareunia
feature_constitution43,feature_quadratic_untouched_liberty
feature_constitution44,feature_bushwhacking_unaligned_imperturbability
feature_constitution45,feature_autodidactic_gnarlier_pericardium
feature_constitution46,feature_degenerate_officinal_feasibility
feature_constitution47,feature_reduplicate_conoid_albite
feature_constitution48,feature_smoggy_niftiest_lunch
feature_constitution49,feature_altern_unnoticed_impregnation
feature_constitution50,feature_croupiest_shaded_thermotropism
feature_constitution51,feature_syrian_coital_counterproof
feature_constitution52,feature_groggy_undescried_geosphere
feature_constitution53,feature_faltering_tergal_tip
feature_constitution54,feature_oversea_permed_insulter
feature_constitution55,feature_limitable_astable_physiology
feature_constitution56,feature_unsurveyed_boyish_aleph
feature_constitution57,feature_generative_honorific_tughrik
feature_constitution58,feature_calefactive_anapaestic_jerome
feature_constitution59,feature_supergene_legible_antarthritic
feature_constitution60,feature_uretic_seral_decoding
feature_constitution61,feature_scorbutic_intellectualism_mongoloid
feature_constitution62,feature_lordly_lamellicorn_buxtehude
feature_constitution63,feature_loricate_cryptocrystalline_ethnology
feature_constitution64,feature_tarry_meet_chapel
feature_constitution65,feature_severe_tricky_pinochle
feature_constitution66,feature_casuistic_barbarian_monochromy
feature_constitution67,feature_antipodal_unable_thievery
feature_constitution68,feature_busty_unfitted_keratotomy
feature_constitution69,feature_leaky_maroon_pyrometry
feature_constitution70,feature_unliving_bit_bengaline
feature_constitution71,feature_retinoscopy_flinty_wool
feature_constitution72,feature_uncompromising_fancy_kyle
feature_constitution73,feature_inhibited_snowiest_drawing
feature_constitution74,feature_misanthropic_knurliest_freebooty
feature_constitution75,feature_leggiest_slaggiest_inez
feature_constitution76,feature_multilinear_sharpened_mouse
feature_constitution77,feature_springlike_crackjaw_bheesty
feature_constitution78,feature_peaty_vulgar_branchia
feature_constitution79,feature_dovetailed_winy_hanaper
feature_constitution80,feature_reconciling_dauby_database
feature_constitution81,feature_centric_shaggier_cranko
feature_constitution82,feature_hypogastric_effectual_sunlight
feature_constitution83,feature_padded_peripteral_pericranium
feature_constitution84,feature_iconomatic_boozier_age
feature_constitution85,feature_curling_aurorean_iseult
feature_constitution86,feature_hawkish_domiciliary_duramen
feature_constitution87,feature_hysteric_mechanized_recklinghausen
feature_constitution88,feature_decent_solo_stickup
feature_constitution89,feature_zymotic_varnished_mulga
feature_constitution90,feature_peltate_okay_info
feature_constitution91,feature_unbreakable_nosological_comedian
feature_constitution92,feature_unextinct_smectic_isa
feature_constitution93,feature_incommensurable_diffused_curability
feature_constitution94,feature_polaroid_squalliest_applause
feature_constitution95,feature_inflexed_lamaism_crit
feature_constitution96,feature_softish_unseparated_caudex
feature_constitution97,feature_interdental_mongolian_anarchism
feature_constitution98,feature_kerygmatic_splashed_ziegfeld
feature_constitution99,feature_chelonian_pyknic_delphi
feature_constitution100,feature_collective_stigmatic_handfasting
feature_constitution101,feature_epicurean_fetal_seising
feature_constitution102,feature_incitant_trochoidal_oculist
feature_constitution103,feature_myographic_gawkier_timbale
feature_constitution104,feature_patristical_analysable_langouste
feature_constitution105,feature_undisguised_whatever_gaul
feature_constitution106,feature_tortured_arsenical_arable
feature_constitution107,feature_expressed_abhominable_pruning
feature_constitution108,feature_basaltic_arid_scallion
feature_constitution109,feature_sorted_ignitable_sagitta
feature_constitution110,feature_reclaimed_fallibilist_turpentine
feature_constitution111,feature_tossing_denominative_threshing
feature_constitution112,feature_designer_notchy_epiploon
feature_constitution113,feature_emmetropic_heraclitean_conducting
feature_constitution114,feature_undirected_perdu_ylem
feature_dexterity1,feature_vulcanological_sepulchral_spean
feature_dexterity2,feature_hibernating_soritic_croupe
feature_dexterity3,feature_merovingian_tenebrism_hartshorn
feature_dexterity4,feature_dipped_sent_giuseppe
feature_dexterity5,feature_unrequired_waxing_skeptic
feature_dexterity6,feature_hellenistic_scraggly_comfort
feature_dexterity7,feature_scenic_cormophytic_bilirubin
feature_dexterity8,feature_conceding_ingrate_tablespoonful
feature_dexterity9,feature_stylistic_honduran_comprador
feature_dexterity10,feature_fumarolic_known_sharkskin
feature_dexterity11,feature_fragrant_fifteen_brian
feature_dexterity12,feature_bleeding_arabesque_pneuma
feature_dexterity13,feature_caecilian_unexperienced_ova
feature_dexterity14,feature_naval_edified_decarbonize
feature_intelligence1,
feature_intelligence2,feature_hexametric_ventricose_limnology
feature_intelligence3,feature_massed_nonracial_ecclesiologist
feature_intelligence4,
feature_intelligence5,feature_accessorial_aroused_crochet
feature_intelligence6,feature_attuned_southward_heckle
feature_intelligence7,feature_intrusive_effluent_hokkaido
feature_intelligence8,
feature_intelligence9,feature_paramagnetic_complex_gish
feature_intelligence10,feature_instrumentalist_extrovert_cassini
feature_intelligence11,
feature_intelligence12,feature_malacological_differential_defeated
feature_strength1,feature_whistleable_unbedimmed_chokey
feature_strength2,feature_unlivable_morbific_traveling
feature_strength3,feature_venatic_intermetallic_darling
feature_strength4,feature_precooled_inoperable_credence
feature_strength5,feature_stereotypic_ebracteate_louise
feature_strength6,feature_planar_unessential_bride
feature_strength7,feature_unlawful_superintendent_brunet
feature_strength8,feature_offshore_defamatory_catalog
feature_strength9,feature_irritant_euphuistic_weka
feature_strength10,feature_liege_unexercised_ennoblement
feature_strength11,feature_roiling_trimeric_kurosawa
feature_strength12,feature_biannual_maleficent_thack
feature_strength13,feature_covalent_methodological_brash
feature_strength14,feature_amygdaloidal_intersectional_canonry
feature_strength15,feature_tranquilizing_abashed_glyceria
feature_strength16,feature_loyal_fishy_pith
feature_strength17,feature_rural_inquisitional_trotline
feature_strength18,feature_extractable_serrulate_swing
feature_strength19,feature_flakiest_fleecy_novelese
feature_strength20,feature_revealable_aeonian_elvira
feature_strength21,feature_ruthenian_uncluttered_vocalizing
feature_strength22,feature_caespitose_unverifiable_intent
feature_strength23,feature_camphorated_spry_freemartin
feature_strength24,feature_dispiriting_araeostyle_jersey
feature_strength25,feature_clerkish_flowing_chapati
feature_strength26,feature_perceivable_gasiform_psammite
feature_strength27,feature_tribal_germinable_yarraman
feature_strength28,feature_periscopic_thirteenth_cartage
feature_strength29,feature_faustian_unventilated_lackluster
feature_strength30,feature_apostate_impercipient_knighthood
feature_strength31,feature_frequentative_participial_waft
feature_strength32,feature_mined_game_curse
feature_strength33,feature_bloodied_twinkling_andante
feature_strength34,feature_unknown_reusable_cabbage
feature_strength35,feature_rimmed_conditional_archipelago
feature_strength36,feature_nebule_barmier_bibliomania
feature_strength37,feature_unperfect_implemental_cellarage
feature_strength38,feature_arillate_nickelic_hemorrhage
feature_wisdom1,feature_hotfoot_behaviorist_terylene
feature_wisdom2,feature_crablike_panniered_gloating
feature_wisdom3,feature_glare_factional_assessment
feature_wisdom4,feature_induplicate_hoarse_disbursement
feature_wisdom5,feature_unrelieved_rawish_cement
feature_wisdom6,feature_restricted_aggregately_workmanship
feature_wisdom7,feature_lost_quirky_botel
feature_wisdom8,feature_covalent_unreformed_frogbit
feature_wisdom9,feature_unburied_exponent_pace
feature_wisdom10,feature_impractical_endorsed_tide
feature_wisdom11,feature_eruptive_seasoned_pharmacognosy
feature_wisdom12,feature_caressive_cognate_cubature
feature_wisdom13,feature_culinary_pro_offering
feature_wisdom14,feature_mucky_loanable_gastrostomy
feature_wisdom15,feature_commensurable_industrial_jungfrau
feature_wisdom16,feature_plexiform_won_elk
feature_wisdom17,feature_ganoid_osiered_mineralogy
feature_wisdom18,feature_castrated_presented_quizzer
feature_wisdom19,feature_helpable_chanciest_fractionisation
feature_wisdom20,feature_spookiest_expedite_overnighter
feature_wisdom21,feature_voltairean_consolidative_parallel
feature_wisdom22,feature_endangered_unthreaded_firebrick
feature_wisdom23,feature_undrossy_serpentiform_sack
feature_wisdom24,feature_highland_eocene_berean
feature_wisdom25,feature_reserved_cleanable_soldan
feature_wisdom26,feature_unnetted_bay_premillennialist
feature_wisdom27,feature_tittering_virgilian_decliner
feature_wisdom28,feature_armoured_finable_skywriter
feature_wisdom29,feature_calculating_unenchanted_microscopium
feature_wisdom30,feature_antipathetical_terrorful_ife
feature_wisdom31,feature_demure_groutiest_housedog
feature_wisdom32,feature_favoring_prescript_unorthodoxy
feature_wisdom33,feature_peculiar_sheenier_quintal
feature_wisdom34,feature_cairned_fumiest_ordaining
feature_wisdom35,feature_huskiest_compartmental_jacquerie
feature_wisdom36,feature_criticisable_authentical_deprecation
feature_wisdom37,feature_unsparing_moralistic_commissary
feature_wisdom38,feature_exacerbating_presentationism_apagoge
feature_wisdom39,feature_hydrologic_cymric_nyctophobia
feature_wisdom40,feature_reminiscent_unpained_ukulele
feature_wisdom41,feature_diverticular_punjabi_matronship
feature_wisdom42,feature_dentilingual_removed_osmometer
feature_wisdom43,feature_roasting_slaked_reposition
feature_wisdom44,feature_strychnic_structuralist_chital
feature_wisdom45,feature_undetermined_idle_aftergrowth
feature_wisdom46,feature_vizierial_courtlier_hampton
